Artist,msPlayed,Duration_Minutes
Rell Moore,640700,10.678333333333333
Rendezvous Point,269108,4.485133333333334
Resorte,16045,0.2674166666666667
Rezodrone,1381075,23.017916666666668
Richie Kotzen,2331,0.03885
Rick James,748463,12.474383333333334
Rickshaw Billie's Burger Patrol,457394,7.623233333333333
Riddarna,241972,4.032866666666667
Rise Against,9306,0.1551
Rishloo,1492,0.024866666666666665
Ritchie Valens,2410,0.04016666666666667
Rival Sons,37403,0.6233833333333333
River Simmons,183923,3.065383333333333
Rob Zombie,881997,14.69995
Ron Gallo,603879,10.06465
Rosa Walton,563709,9.39515
Roy Ayers Ubiquity,15634,0.26056666666666667
Roy Orbison,1352,0.022533333333333332
Royal Blood,14764718,246.07863333333333
Run The Jewels,91222,1.5203666666666666
Rush,209263,3.4877166666666666
SAMURAI,7417199,123.61998333333334
SICK PUPPIES,2312,0.038533333333333336
Sade,14075,0.23458333333333334
Saint Motel,1087,0.018116666666666666
Sakoya,368778,6.1463
Saliva,372671,6.2111833333333335
Samara Cyn,139849,2.3308166666666668
Santana,2457054,40.9509
Saosin,1422,0.0237
Saults,867982,14.466366666666667
Saving Abel,5702,0.09503333333333333
Saybia,685,0.011416666666666667
Scandroid,353651,5.894183333333333
Scorpions,3294,0.0549
Seal,41732,0.6955333333333333
Seals and Crofts,1994,0.03323333333333333
Seether,60074,1.0012333333333334
Semisonic,1001,0.016683333333333335
Sepultura,1006,0.016766666666666666
Seven Mary Three,247188,4.1198
Sevendust,285660,4.761
Shadow of Intent,1656517,27.608616666666666
Shadows Chasing Ghosts,1020,0.017
Shadows Fall,1077477,17.95795
Shallow Rising,197911,3.2985166666666665
She Wants Revenge,1370,0.022833333333333334
Shinedown,1459860,24.331
Shokran,269264,4.487733333333333
Shores Of Lunacy,288263,4.804383333333333
Shrezzers,2965,0.049416666666666664
Silex,4029597,67.15995
Silverchair,22883,0.38138333333333335
Silverstein,173000,2.8833333333333333
Silversun Pickups,351949,5.8658166666666665
Simple Minds,1528,0.025466666666666665
Sister Hazel,1417,0.023616666666666668
Sisters of Mercy,296214,4.9369
Sixx:A.M.,431776,7.196266666666666
Skid Row,14824,0.24706666666666666
Skin On Flesh,587571,9.79285
Slayer,5540,0.09233333333333334
Slipknot,3491380,58.18966666666667
Slomosa,467054,7.784233333333333
Smash Mouth,1643,0.027383333333333332
Smile Empty Soul,12032,0.20053333333333334
Snake River Conspiracy,2702,0.045033333333333335
Snow Patrol,376191,6.26985
Soen,707533,11.792216666666667
Soft Cell,694,0.011566666666666666
Soilwork,24368,0.40613333333333335
Sonic Syndicate,1626,0.0271
Sons of Arrakis,227768,3.796133333333333
Sonya Belousova,190306,3.1717666666666666
Soot,590,0.009833333333333333
Soulfly,1494,0.0249
Soundgarden,1421141,23.685683333333333
Spacehog,3583,0.05971666666666667
Spin Doctors,4032,0.0672
Spineshank,7991,0.13318333333333332
Spiral Drive,250400,4.173333333333333
Spirit Machines,1077118,17.951966666666667
Spirit Mother,523800,8.73
Spiritbox,1999767,33.32945
Sponge,3676,0.061266666666666664
Sports,1238,0.020633333333333333
St. Aurora,65463,1.09105
Staind,3464076,57.7346
Starchild,241243,4.020716666666667
Static-X,2608510,43.47516666666667
Steely Dan,382773,6.37955
Stereomud,198573,3.30955
Stereophonics,2326,0.038766666666666665
Stevie Nicks,329884,5.498066666666666
Stevie Ray Vaughan,392725,6.545416666666667
Stevie Wonder,283391,4.723183333333333
Stick To Your Guns,215436,3.5906
Stone Sour,2750276,45.83793333333333
Stone Temple Pilots,11343805,189.06341666666665
Story Of The Year,6067,0.10111666666666666
Strata,216986,3.616433333333333
Strawhorse,197333,3.288883333333333
Stuck in the Sound,215408,3.590133333333333
Styx,443175,7.38625
Sublime,19428,0.3238
Submersed,7561,0.12601666666666667
Sugar Ray,12471,0.20785
Suicidal Tendencies,543,0.00905
Sunscourge,240400,4.006666666666667
Sunshine Spazz,613485,10.22475
Supergrass,1893,0.03155
Superheaven,9475,0.15791666666666668
Surf Curse,4890,0.0815
Switchfoot,3797,0.06328333333333333
Sylosis,585065,9.751083333333334
System Of A Down,10348844,172.48073333333335
THERAST,682,0.011366666666666667
TM Juke,532287,8.87145
TOOL,4382572,73.04286666666667
TOTO,1040594,17.343233333333334
